filename,audio_path,video_path,text,label
sample_02249,data/raw/audio\sample_02249.wav,data/raw/video\sample_02249.mp4,Mediocre storyline but decent acting.,1
sample_04640,data/raw/audio\sample_04640.wav,data/raw/video\sample_04640.mp4,Mediocre storyline but decent acting.,1
sample_09485,data/raw/audio\sample_09485.wav,data/raw/video\sample_09485.mp4,"Great film, emotional and powerful.",2
sample_04947,data/raw/audio\sample_04947.wav,data/raw/video\sample_04947.mp4,"Awful experience, not worth watching.",0
sample_09920,data/raw/audio\sample_09920.wav,data/raw/video\sample_09920.mp4,"Awful experience, not worth watching.",0
sample_01963,data/raw/audio\sample_01963.wav,data/raw/video\sample_01963.mp4,"It was okay, not great but not bad either.",1
sample_08243,data/raw/audio\sample_08243.wav,data/raw/video\sample_08243.mp4,"Absolutely loved it, fantastic experience!",2
sample_06590,data/raw/audio\sample_06590.wav,data/raw/video\sample_06590.mp4,"Great film, emotional and powerful.",2
sample_08847,data/raw/audio\sample_08847.wav,data/raw/video\sample_08847.mp4,"An average performance, could be better.",1
sample_00321,data/raw/audio\sample_00321.wav,data/raw/video\sample_00321.mp4,"Great film, emotional and powerful.",2
sample_02678,data/raw/audio\sample_02678.wav,data/raw/video\sample_02678.mp4,"Great film, emotional and powerful.",2
sample_04625,data/raw/audio\sample_04625.wav,data/raw/video\sample_04625.mp4,"Great film, emotional and powerful.",2
sample_04949,data/raw/audio\sample_04949.wav,data/raw/video\sample_04949.mp4,"Wonderful, exceeded all expectations!",2
sample_08328,data/raw/audio\sample_08328.wav,data/raw/video\sample_08328.mp4,"Absolutely loved it, fantastic experience!",2
sample_03337,data/raw/audio\sample_03337.wav,data/raw/video\sample_03337.mp4,"This was terrible, I hated every moment.",0
sample_05589,data/raw/audio\sample_05589.wav,data/raw/video\sample_05589.mp4,"Great film, emotional and powerful.",2
sample_00251,data/raw/audio\sample_00251.wav,data/raw/video\sample_00251.mp4,"Absolutely loved it, fantastic experience!",2
sample_03973,data/raw/audio\sample_03973.wav,data/raw/video\sample_03973.mp4,"Completely disappointed, waste of time.",0
sample_06630,data/raw/audio\sample_06630.wav,data/raw/video\sample_06630.mp4,"Absolutely loved it, fantastic experience!",2
sample_05547,data/raw/audio\sample_05547.wav,data/raw/video\sample_05547.mp4,"This was terrible, I hated every moment.",0
sample_00035,data/raw/audio\sample_00035.wav,data/raw/video\sample_00035.mp4,"It was okay, not great but not bad either.",1
sample_08362,data/raw/audio\sample_08362.wav,data/raw/video\sample_08362.mp4,"It was okay, not great but not bad either.",1
sample_01513,data/raw/audio\sample_01513.wav,data/raw/video\sample_01513.mp4,"It was okay, not great but not bad either.",1
sample_09317,data/raw/audio\sample_09317.wav,data/raw/video\sample_09317.mp4,"Great film, emotional and powerful.",2
sample_00039,data/raw/audio\sample_00039.wav,data/raw/video\sample_00039.mp4,"Great film, emotional and powerful.",2
sample_04819,data/raw/audio\sample_04819.wav,data/raw/video\sample_04819.mp4,"Great film, emotional and powerful.",2
sample_03465,data/raw/audio\sample_03465.wav,data/raw/video\sample_03465.mp4,"This was terrible, I hated every moment.",0
sample_01760,data/raw/audio\sample_01760.wav,data/raw/video\sample_01760.mp4,"Great film, emotional and powerful.",2
sample_02304,data/raw/audio\sample_02304.wav,data/raw/video\sample_02304.mp4,"Completely disappointed, waste of time.",0
sample_03723,data/raw/audio\sample_03723.wav,data/raw/video\sample_03723.mp4,"This was terrible, I hated every moment.",0
sample_08284,data/raw/audio\sample_08284.wav,data/raw/video\sample_08284.mp4,"It was okay, not great but not bad either.",1
sample_04993,data/raw/audio\sample_04993.wav,data/raw/video\sample_04993.mp4,"This was terrible, I hated every moment.",0
sample_08127,data/raw/audio\sample_08127.wav,data/raw/video\sample_08127.mp4,"Great film, emotional and powerful.",2
sample_03032,data/raw/audio\sample_03032.wav,data/raw/video\sample_03032.mp4,"Great film, emotional and powerful.",2
sample_07938,data/raw/audio\sample_07938.wav,data/raw/video\sample_07938.mp4,Mediocre storyline but decent acting.,1
sample_03039,data/raw/audio\sample_03039.wav,data/raw/video\sample_03039.mp4,"Great film, emotional and powerful.",2
sample_09655,data/raw/audio\sample_09655.wav,data/raw/video\sample_09655.mp4,"Awful experience, not worth watching.",0
sample_02545,data/raw/audio\sample_02545.wav,data/raw/video\sample_02545.mp4,"An average performance, could be better.",1
sample_02592,data/raw/audio\sample_02592.wav,data/raw/video\sample_02592.mp4,"An average performance, could be better.",1
sample_01188,data/raw/audio\sample_01188.wav,data/raw/video\sample_01188.mp4,"An average performance, could be better.",1
sample_07966,data/raw/audio\sample_07966.wav,data/raw/video\sample_07966.mp4,Mediocre storyline but decent acting.,1
sample_06077,data/raw/audio\sample_06077.wav,data/raw/video\sample_06077.mp4,"Awful experience, not worth watching.",0
sample_00107,data/raw/audio\sample_00107.wav,data/raw/video\sample_00107.mp4,"This was terrible, I hated every moment.",0
sample_01315,data/raw/audio\sample_01315.wav,data/raw/video\sample_01315.mp4,"An average performance, could be better.",1
sample_08187,data/raw/audio\sample_08187.wav,data/raw/video\sample_08187.mp4,"Wonderful, exceeded all expectations!",2
sample_02753,data/raw/audio\sample_02753.wav,data/raw/video\sample_02753.mp4,"It was okay, not great but not bad either.",1
sample_09753,data/raw/audio\sample_09753.wav,data/raw/video\sample_09753.mp4,"Completely disappointed, waste of time.",0
sample_06231,data/raw/audio\sample_06231.wav,data/raw/video\sample_06231.mp4,"Great film, emotional and powerful.",2
sample_02876,data/raw/audio\sample_02876.wav,data/raw/video\sample_02876.mp4,"Absolutely loved it, fantastic experience!",2
sample_05323,data/raw/audio\sample_05323.wav,data/raw/video\sample_05323.mp4,"Absolutely loved it, fantastic experience!",2
sample_00799,data/raw/audio\sample_00799.wav,data/raw/video\sample_00799.mp4,"Absolutely loved it, fantastic experience!",2
sample_03570,data/raw/audio\sample_03570.wav,data/raw/video\sample_03570.mp4,"Great film, emotional and powerful.",2
sample_02894,data/raw/audio\sample_02894.wav,data/raw/video\sample_02894.mp4,"Completely disappointed, waste of time.",0
sample_02927,data/raw/audio\sample_02927.wav,data/raw/video\sample_02927.mp4,"Wonderful, exceeded all expectations!",2
sample_08178,data/raw/audio\sample_08178.wav,data/raw/video\sample_08178.mp4,"An average performance, could be better.",1
sample_00971,data/raw/audio\sample_00971.wav,data/raw/video\sample_00971.mp4,"It was okay, not great but not bad either.",1
sample_06687,data/raw/audio\sample_06687.wav,data/raw/video\sample_06687.mp4,Mediocre storyline but decent acting.,1
sample_08575,data/raw/audio\sample_08575.wav,data/raw/video\sample_08575.mp4,"This was terrible, I hated every moment.",0
sample_02020,data/raw/audio\sample_02020.wav,data/raw/video\sample_02020.mp4,"Completely disappointed, waste of time.",0
sample_09054,data/raw/audio\sample_09054.wav,data/raw/video\sample_09054.mp4,"Great film, emotional and powerful.",2
sample_00952,data/raw/audio\sample_00952.wav,data/raw/video\sample_00952.mp4,"Awful experience, not worth watching.",0
sample_05359,data/raw/audio\sample_05359.wav,data/raw/video\sample_05359.mp4,"Absolutely loved it, fantastic experience!",2
sample_03857,data/raw/audio\sample_03857.wav,data/raw/video\sample_03857.mp4,"This was terrible, I hated every moment.",0
sample_05861,data/raw/audio\sample_05861.wav,data/raw/video\sample_05861.mp4,"Completely disappointed, waste of time.",0
sample_03145,data/raw/audio\sample_03145.wav,data/raw/video\sample_03145.mp4,Mediocre storyline but decent acting.,1
sample_03305,data/raw/audio\sample_03305.wav,data/raw/video\sample_03305.mp4,"Great film, emotional and powerful.",2
sample_03006,data/raw/audio\sample_03006.wav,data/raw/video\sample_03006.mp4,"Absolutely loved it, fantastic experience!",2
sample_09001,data/raw/audio\sample_09001.wav,data/raw/video\sample_09001.mp4,"Awful experience, not worth watching.",0
sample_07770,data/raw/audio\sample_07770.wav,data/raw/video\sample_07770.mp4,"Absolutely loved it, fantastic experience!",2
sample_07438,data/raw/audio\sample_07438.wav,data/raw/video\sample_07438.mp4,"Wonderful, exceeded all expectations!",2
sample_07942,data/raw/audio\sample_07942.wav,data/raw/video\sample_07942.mp4,"It was okay, not great but not bad either.",1
sample_09238,data/raw/audio\sample_09238.wav,data/raw/video\sample_09238.mp4,"This was terrible, I hated every moment.",0
sample_01056,data/raw/audio\sample_01056.wav,data/raw/video\sample_01056.mp4,"Great film, emotional and powerful.",2
sample_03154,data/raw/audio\sample_03154.wav,data/raw/video\sample_03154.mp4,"Absolutely loved it, fantastic experience!",2
sample_03787,data/raw/audio\sample_03787.wav,data/raw/video\sample_03787.mp4,"Awful experience, not worth watching.",0
sample_09189,data/raw/audio\sample_09189.wav,data/raw/video\sample_09189.mp4,"This was terrible, I hated every moment.",0
sample_07825,data/raw/audio\sample_07825.wav,data/raw/video\sample_07825.mp4,"This was terrible, I hated every moment.",0
sample_07539,data/raw/audio\sample_07539.wav,data/raw/video\sample_07539.mp4,"This was terrible, I hated every moment.",0
sample_07231,data/raw/audio\sample_07231.wav,data/raw/video\sample_07231.mp4,"An average performance, could be better.",1
sample_00764,data/raw/audio\sample_00764.wav,data/raw/video\sample_00764.mp4,"Wonderful, exceeded all expectations!",2
sample_05019,data/raw/audio\sample_05019.wav,data/raw/video\sample_05019.mp4,"This was terrible, I hated every moment.",0
sample_04903,data/raw/audio\sample_04903.wav,data/raw/video\sample_04903.mp4,"Great film, emotional and powerful.",2
sample_08093,data/raw/audio\sample_08093.wav,data/raw/video\sample_08093.mp4,"Completely disappointed, waste of time.",0
sample_06843,data/raw/audio\sample_06843.wav,data/raw/video\sample_06843.mp4,"Wonderful, exceeded all expectations!",2
sample_02165,data/raw/audio\sample_02165.wav,data/raw/video\sample_02165.mp4,"Completely disappointed, waste of time.",0
sample_01862,data/raw/audio\sample_01862.wav,data/raw/video\sample_01862.mp4,"Great film, emotional and powerful.",2
sample_07850,data/raw/audio\sample_07850.wav,data/raw/video\sample_07850.mp4,"Wonderful, exceeded all expectations!",2
sample_09123,data/raw/audio\sample_09123.wav,data/raw/video\sample_09123.mp4,"Awful experience, not worth watching.",0
sample_02340,data/raw/audio\sample_02340.wav,data/raw/video\sample_02340.mp4,"This was terrible, I hated every moment.",0
sample_05527,data/raw/audio\sample_05527.wav,data/raw/video\sample_05527.mp4,"Absolutely loved it, fantastic experience!",2
sample_06743,data/raw/audio\sample_06743.wav,data/raw/video\sample_06743.mp4,"Awful experience, not worth watching.",0
sample_04003,data/raw/audio\sample_04003.wav,data/raw/video\sample_04003.mp4,"An average performance, could be better.",1
sample_01123,data/raw/audio\sample_01123.wav,data/raw/video\sample_01123.mp4,"Absolutely loved it, fantastic experience!",2
sample_08709,data/raw/audio\sample_08709.wav,data/raw/video\sample_08709.mp4,"Great film, emotional and powerful.",2
sample_04049,data/raw/audio\sample_04049.wav,data/raw/video\sample_04049.mp4,"This was terrible, I hated every moment.",0
sample_07640,data/raw/audio\sample_07640.wav,data/raw/video\sample_07640.mp4,Mediocre storyline but decent acting.,1
sample_00765,data/raw/audio\sample_00765.wav,data/raw/video\sample_00765.mp4,"Absolutely loved it, fantastic experience!",2
sample_02344,data/raw/audio\sample_02344.wav,data/raw/video\sample_02344.mp4,"Wonderful, exceeded all expectations!",2
sample_04071,data/raw/audio\sample_04071.wav,data/raw/video\sample_04071.mp4,"Awful experience, not worth watching.",0
sample_07216,data/raw/audio\sample_07216.wav,data/raw/video\sample_07216.mp4,"This was terrible, I hated every moment.",0
sample_04216,data/raw/audio\sample_04216.wav,data/raw/video\sample_04216.mp4,"Awful experience, not worth watching.",0
sample_07952,data/raw/audio\sample_07952.wav,data/raw/video\sample_07952.mp4,"An average performance, could be better.",1
sample_05970,data/raw/audio\sample_05970.wav,data/raw/video\sample_05970.mp4,"Wonderful, exceeded all expectations!",2
sample_03350,data/raw/audio\sample_03350.wav,data/raw/video\sample_03350.mp4,"Wonderful, exceeded all expectations!",2
sample_04695,data/raw/audio\sample_04695.wav,data/raw/video\sample_04695.mp4,"An average performance, could be better.",1
sample_03399,data/raw/audio\sample_03399.wav,data/raw/video\sample_03399.mp4,"Completely disappointed, waste of time.",0
sample_04081,data/raw/audio\sample_04081.wav,data/raw/video\sample_04081.mp4,Mediocre storyline but decent acting.,1
sample_09149,data/raw/audio\sample_09149.wav,data/raw/video\sample_09149.mp4,"Absolutely loved it, fantastic experience!",2
sample_01224,data/raw/audio\sample_01224.wav,data/raw/video\sample_01224.mp4,"Absolutely loved it, fantastic experience!",2
sample_06292,data/raw/audio\sample_06292.wav,data/raw/video\sample_06292.mp4,"Completely disappointed, waste of time.",0
sample_03122,data/raw/audio\sample_03122.wav,data/raw/video\sample_03122.mp4,"Awful experience, not worth watching.",0
sample_00510,data/raw/audio\sample_00510.wav,data/raw/video\sample_00510.mp4,"An average performance, could be better.",1
sample_05794,data/raw/audio\sample_05794.wav,data/raw/video\sample_05794.mp4,"This was terrible, I hated every moment.",0
sample_08181,data/raw/audio\sample_08181.wav,data/raw/video\sample_08181.mp4,"Absolutely loved it, fantastic experience!",2
sample_09417,data/raw/audio\sample_09417.wav,data/raw/video\sample_09417.mp4,"Absolutely loved it, fantastic experience!",2
sample_00096,data/raw/audio\sample_00096.wav,data/raw/video\sample_00096.mp4,Mediocre storyline but decent acting.,1
sample_06681,data/raw/audio\sample_06681.wav,data/raw/video\sample_06681.mp4,Mediocre storyline but decent acting.,1
sample_01512,data/raw/audio\sample_01512.wav,data/raw/video\sample_01512.mp4,"It was okay, not great but not bad either.",1
sample_08791,data/raw/audio\sample_08791.wav,data/raw/video\sample_08791.mp4,"Completely disappointed, waste of time.",0
sample_00119,data/raw/audio\sample_00119.wav,data/raw/video\sample_00119.mp4,"This was terrible, I hated every moment.",0
sample_07791,data/raw/audio\sample_07791.wav,data/raw/video\sample_07791.mp4,Mediocre storyline but decent acting.,1
sample_06517,data/raw/audio\sample_06517.wav,data/raw/video\sample_06517.mp4,Mediocre storyline but decent acting.,1
sample_00033,data/raw/audio\sample_00033.wav,data/raw/video\sample_00033.mp4,"Awful experience, not worth watching.",0
sample_07887,data/raw/audio\sample_07887.wav,data/raw/video\sample_07887.mp4,"It was okay, not great but not bad either.",1
sample_06830,data/raw/audio\sample_06830.wav,data/raw/video\sample_06830.mp4,"Wonderful, exceeded all expectations!",2
sample_05421,data/raw/audio\sample_05421.wav,data/raw/video\sample_05421.mp4,"Awful experience, not worth watching.",0
sample_01068,data/raw/audio\sample_01068.wav,data/raw/video\sample_01068.mp4,"An average performance, could be better.",1
sample_01347,data/raw/audio\sample_01347.wav,data/raw/video\sample_01347.mp4,"An average performance, could be better.",1
sample_04747,data/raw/audio\sample_04747.wav,data/raw/video\sample_04747.mp4,"An average performance, could be better.",1
sample_06005,data/raw/audio\sample_06005.wav,data/raw/video\sample_06005.mp4,"This was terrible, I hated every moment.",0
sample_06039,data/raw/audio\sample_06039.wav,data/raw/video\sample_06039.mp4,"This was terrible, I hated every moment.",0
sample_03817,data/raw/audio\sample_03817.wav,data/raw/video\sample_03817.mp4,"Absolutely loved it, fantastic experience!",2
sample_08446,data/raw/audio\sample_08446.wav,data/raw/video\sample_08446.mp4,"It was okay, not great but not bad either.",1
sample_05269,data/raw/audio\sample_05269.wav,data/raw/video\sample_05269.mp4,Mediocre storyline but decent acting.,1
sample_06897,data/raw/audio\sample_06897.wav,data/raw/video\sample_06897.mp4,"Absolutely loved it, fantastic experience!",2
sample_05309,data/raw/audio\sample_05309.wav,data/raw/video\sample_05309.mp4,"Awful experience, not worth watching.",0
sample_00031,data/raw/audio\sample_00031.wav,data/raw/video\sample_00031.mp4,"Absolutely loved it, fantastic experience!",2
sample_05674,data/raw/audio\sample_05674.wav,data/raw/video\sample_05674.mp4,"Great film, emotional and powerful.",2
sample_04386,data/raw/audio\sample_04386.wav,data/raw/video\sample_04386.mp4,"Absolutely loved it, fantastic experience!",2
sample_00029,data/raw/audio\sample_00029.wav,data/raw/video\sample_00029.mp4,"Completely disappointed, waste of time.",0
sample_04202,data/raw/audio\sample_04202.wav,data/raw/video\sample_04202.mp4,"Awful experience, not worth watching.",0
sample_07507,data/raw/audio\sample_07507.wav,data/raw/video\sample_07507.mp4,"An average performance, could be better.",1
sample_00735,data/raw/audio\sample_00735.wav,data/raw/video\sample_00735.mp4,Mediocre storyline but decent acting.,1
sample_02067,data/raw/audio\sample_02067.wav,data/raw/video\sample_02067.mp4,"Awful experience, not worth watching.",0
sample_00106,data/raw/audio\sample_00106.wav,data/raw/video\sample_00106.mp4,"Great film, emotional and powerful.",2
sample_09644,data/raw/audio\sample_09644.wav,data/raw/video\sample_09644.mp4,"Absolutely loved it, fantastic experience!",2
sample_08894,data/raw/audio\sample_08894.wav,data/raw/video\sample_08894.mp4,"This was terrible, I hated every moment.",0
sample_08020,data/raw/audio\sample_08020.wav,data/raw/video\sample_08020.mp4,Mediocre storyline but decent acting.,1
sample_02232,data/raw/audio\sample_02232.wav,data/raw/video\sample_02232.mp4,"Absolutely loved it, fantastic experience!",2
sample_00993,data/raw/audio\sample_00993.wav,data/raw/video\sample_00993.mp4,"It was okay, not great but not bad either.",1
sample_09412,data/raw/audio\sample_09412.wav,data/raw/video\sample_09412.mp4,Mediocre storyline but decent acting.,1
sample_07058,data/raw/audio\sample_07058.wav,data/raw/video\sample_07058.mp4,"Wonderful, exceeded all expectations!",2
sample_06789,data/raw/audio\sample_06789.wav,data/raw/video\sample_06789.mp4,"Great film, emotional and powerful.",2
sample_00360,data/raw/audio\sample_00360.wav,data/raw/video\sample_00360.mp4,"An average performance, could be better.",1
sample_00304,data/raw/audio\sample_00304.wav,data/raw/video\sample_00304.mp4,Mediocre storyline but decent acting.,1
sample_02627,data/raw/audio\sample_02627.wav,data/raw/video\sample_02627.mp4,"Awful experience, not worth watching.",0
sample_08965,data/raw/audio\sample_08965.wav,data/raw/video\sample_08965.mp4,"Awful experience, not worth watching.",0
sample_04513,data/raw/audio\sample_04513.wav,data/raw/video\sample_04513.mp4,"Absolutely loved it, fantastic experience!",2
sample_05910,data/raw/audio\sample_05910.wav,data/raw/video\sample_05910.mp4,"An average performance, could be better.",1
sample_08313,data/raw/audio\sample_08313.wav,data/raw/video\sample_08313.mp4,"Wonderful, exceeded all expectations!",2
sample_03100,data/raw/audio\sample_03100.wav,data/raw/video\sample_03100.mp4,"Great film, emotional and powerful.",2
sample_05703,data/raw/audio\sample_05703.wav,data/raw/video\sample_05703.mp4,"Completely disappointed, waste of time.",0
sample_03898,data/raw/audio\sample_03898.wav,data/raw/video\sample_03898.mp4,"Absolutely loved it, fantastic experience!",2
sample_05440,data/raw/audio\sample_05440.wav,data/raw/video\sample_05440.mp4,"Completely disappointed, waste of time.",0
sample_07930,data/raw/audio\sample_07930.wav,data/raw/video\sample_07930.mp4,"It was okay, not great but not bad either.",1
sample_00621,data/raw/audio\sample_00621.wav,data/raw/video\sample_00621.mp4,"Great film, emotional and powerful.",2
sample_07235,data/raw/audio\sample_07235.wav,data/raw/video\sample_07235.mp4,"It was okay, not great but not bad either.",1
sample_02498,data/raw/audio\sample_02498.wav,data/raw/video\sample_02498.mp4,"Completely disappointed, waste of time.",0
sample_00713,data/raw/audio\sample_00713.wav,data/raw/video\sample_00713.mp4,"Absolutely loved it, fantastic experience!",2
sample_08403,data/raw/audio\sample_08403.wav,data/raw/video\sample_08403.mp4,"It was okay, not great but not bad either.",1
sample_02855,data/raw/audio\sample_02855.wav,data/raw/video\sample_02855.mp4,"Great film, emotional and powerful.",2
sample_04269,data/raw/audio\sample_04269.wav,data/raw/video\sample_04269.mp4,"Absolutely loved it, fantastic experience!",2
sample_02908,data/raw/audio\sample_02908.wav,data/raw/video\sample_02908.mp4,"Absolutely loved it, fantastic experience!",2
sample_08080,data/raw/audio\sample_08080.wav,data/raw/video\sample_08080.mp4,"Wonderful, exceeded all expectations!",2
sample_04516,data/raw/audio\sample_04516.wav,data/raw/video\sample_04516.mp4,"Wonderful, exceeded all expectations!",2
sample_01261,data/raw/audio\sample_01261.wav,data/raw/video\sample_01261.mp4,"Wonderful, exceeded all expectations!",2
sample_03160,data/raw/audio\sample_03160.wav,data/raw/video\sample_03160.mp4,"An average performance, could be better.",1
sample_00970,data/raw/audio\sample_00970.wav,data/raw/video\sample_00970.mp4,"Great film, emotional and powerful.",2
sample_03912,data/raw/audio\sample_03912.wav,data/raw/video\sample_03912.mp4,"Wonderful, exceeded all expectations!",2
sample_05198,data/raw/audio\sample_05198.wav,data/raw/video\sample_05198.mp4,"This was terrible, I hated every moment.",0
sample_08846,data/raw/audio\sample_08846.wav,data/raw/video\sample_08846.mp4,"Completely disappointed, waste of time.",0
sample_00259,data/raw/audio\sample_00259.wav,data/raw/video\sample_00259.mp4,"Great film, emotional and powerful.",2
sample_03790,data/raw/audio\sample_03790.wav,data/raw/video\sample_03790.mp4,"Completely disappointed, waste of time.",0
sample_09202,data/raw/audio\sample_09202.wav,data/raw/video\sample_09202.mp4,"Wonderful, exceeded all expectations!",2
sample_00487,data/raw/audio\sample_00487.wav,data/raw/video\sample_00487.mp4,"This was terrible, I hated every moment.",0
sample_07907,data/raw/audio\sample_07907.wav,data/raw/video\sample_07907.mp4,"An average performance, could be better.",1
sample_00518,data/raw/audio\sample_00518.wav,data/raw/video\sample_00518.mp4,Mediocre storyline but decent acting.,1
sample_08342,data/raw/audio\sample_08342.wav,data/raw/video\sample_08342.mp4,"It was okay, not great but not bad either.",1
sample_00311,data/raw/audio\sample_00311.wav,data/raw/video\sample_00311.mp4,"This was terrible, I hated every moment.",0
sample_03231,data/raw/audio\sample_03231.wav,data/raw/video\sample_03231.mp4,"Awful experience, not worth watching.",0
sample_07932,data/raw/audio\sample_07932.wav,data/raw/video\sample_07932.mp4,"It was okay, not great but not bad either.",1
sample_07457,data/raw/audio\sample_07457.wav,data/raw/video\sample_07457.mp4,"An average performance, could be better.",1
sample_09783,data/raw/audio\sample_09783.wav,data/raw/video\sample_09783.mp4,Mediocre storyline but decent acting.,1
sample_05183,data/raw/audio\sample_05183.wav,data/raw/video\sample_05183.mp4,"It was okay, not great but not bad either.",1
sample_08076,data/raw/audio\sample_08076.wav,data/raw/video\sample_08076.mp4,"It was okay, not great but not bad either.",1
sample_06501,data/raw/audio\sample_06501.wav,data/raw/video\sample_06501.mp4,"This was terrible, I hated every moment.",0
sample_06790,data/raw/audio\sample_06790.wav,data/raw/video\sample_06790.mp4,"Absolutely loved it, fantastic experience!",2
sample_07772,data/raw/audio\sample_07772.wav,data/raw/video\sample_07772.mp4,Mediocre storyline but decent acting.,1
sample_02737,data/raw/audio\sample_02737.wav,data/raw/video\sample_02737.mp4,"Absolutely loved it, fantastic experience!",2
sample_07841,data/raw/audio\sample_07841.wav,data/raw/video\sample_07841.mp4,Mediocre storyline but decent acting.,1
sample_06261,data/raw/audio\sample_06261.wav,data/raw/video\sample_06261.mp4,"An average performance, could be better.",1
sample_08205,data/raw/audio\sample_08205.wav,data/raw/video\sample_08205.mp4,"Great film, emotional and powerful.",2
sample_01247,data/raw/audio\sample_01247.wav,data/raw/video\sample_01247.mp4,"Great film, emotional and powerful.",2
sample_09335,data/raw/audio\sample_09335.wav,data/raw/video\sample_09335.mp4,"Great film, emotional and powerful.",2
sample_04194,data/raw/audio\sample_04194.wav,data/raw/video\sample_04194.mp4,Mediocre storyline but decent acting.,1
sample_08000,data/raw/audio\sample_08000.wav,data/raw/video\sample_08000.mp4,"Absolutely loved it, fantastic experience!",2
sample_07377,data/raw/audio\sample_07377.wav,data/raw/video\sample_07377.mp4,"Awful experience, not worth watching.",0
sample_03434,data/raw/audio\sample_03434.wav,data/raw/video\sample_03434.mp4,"Absolutely loved it, fantastic experience!",2
sample_05381,data/raw/audio\sample_05381.wav,data/raw/video\sample_05381.mp4,Mediocre storyline but decent acting.,1
sample_00958,data/raw/audio\sample_00958.wav,data/raw/video\sample_00958.mp4,"Wonderful, exceeded all expectations!",2
sample_00416,data/raw/audio\sample_00416.wav,data/raw/video\sample_00416.mp4,"It was okay, not great but not bad either.",1
sample_05741,data/raw/audio\sample_05741.wav,data/raw/video\sample_05741.mp4,"This was terrible, I hated every moment.",0
sample_06727,data/raw/audio\sample_06727.wav,data/raw/video\sample_06727.mp4,"Wonderful, exceeded all expectations!",2
sample_04381,data/raw/audio\sample_04381.wav,data/raw/video\sample_04381.mp4,Mediocre storyline but decent acting.,1
sample_05196,data/raw/audio\sample_05196.wav,data/raw/video\sample_05196.mp4,Mediocre storyline but decent acting.,1
sample_01112,data/raw/audio\sample_01112.wav,data/raw/video\sample_01112.mp4,"Great film, emotional and powerful.",2
sample_02688,data/raw/audio\sample_02688.wav,data/raw/video\sample_02688.mp4,"Wonderful, exceeded all expectations!",2
sample_06472,data/raw/audio\sample_06472.wav,data/raw/video\sample_06472.mp4,"Awful experience, not worth watching.",0
sample_08819,data/raw/audio\sample_08819.wav,data/raw/video\sample_08819.mp4,Mediocre storyline but decent acting.,1
sample_07807,data/raw/audio\sample_07807.wav,data/raw/video\sample_07807.mp4,"Awful experience, not worth watching.",0
sample_03410,data/raw/audio\sample_03410.wav,data/raw/video\sample_03410.mp4,"Awful experience, not worth watching.",0
sample_00080,data/raw/audio\sample_00080.wav,data/raw/video\sample_00080.mp4,"An average performance, could be better.",1
sample_04613,data/raw/audio\sample_04613.wav,data/raw/video\sample_04613.mp4,"Completely disappointed, waste of time.",0
sample_01373,data/raw/audio\sample_01373.wav,data/raw/video\sample_01373.mp4,"Great film, emotional and powerful.",2
